iteration,relative_disagreement,spectral_reference
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,4.137960220080064144e-02,2.089669911140432448e-02
2.000000000000000000e+00,2.089669911140433142e-02,1.055283305125918371e-02
3.000000000000000000e+00,1.055283305125919065e-02,5.329180690885888631e-03
4.000000000000000000e+00,5.329180690885882560e-03,2.691236248897373260e-03
5.000000000000000000e+00,2.691236248897373694e-03,1.359074305693173728e-03
6.000000000000000000e+00,1.359074305693173512e-03,6.863325243750527122e-04
7.000000000000000000e+00,6.863325243750508691e-04,3.465979248094016143e-04
8.000000000000000000e+00,3.465979248094026985e-04,1.750319520287478266e-04
9.000000000000000000e+00,1.750319520287528410e-04,8.839113577451763386e-05
1.000000000000000000e+01,8.839113577451942279e-05,4.463752356613140794e-05
1.100000000000000000e+01,4.463752356613842138e-05,2.254194940089635966e-05
1.200000000000000000e+01,2.254194940089534660e-05,1.138368444745266285e-05
1.300000000000000000e+01,1.138368444744816849e-05,5.748760645963595042e-06
1.400000000000000000e+01,5.748760645953526362e-06,2.903124126211615780e-06
1.500000000000000000e+01,2.903124126210477368e-06,1.466077683736865800e-06
1.600000000000000000e+01,1.466077683732800465e-06,7.403692302871172933e-07
1.700000000000000000e+01,7.403692302866577780e-07,3.738864612949942008e-07
1.800000000000000000e+01,3.738864612917602820e-07,1.888126629539720773e-07
1.900000000000000000e+01,1.888126629545771764e-07,9.535039479175589809e-08
2.000000000000000000e+01,9.535039479754176839e-08,4.815194936983673363e-08
2.100000000000000000e+01,4.815194936955784803e-08,2.431673443176755048e-08
2.200000000000000000e+01,2.431673443064749830e-08,1.227995088804261192e-08
2.300000000000000000e+01,1.227995089183024878e-08,6.201375198461519399e-09
2.400000000000000000e+01,6.201375196009128234e-09,3.131694475223067189e-09
2.500000000000000000e+01,3.131694475719971127e-09,1.581505709987648920e-09
2.600000000000000000e+01,1.581505707444999942e-09,7.986603835437627688e-10
2.700000000000000000e+01,7.986603781373733577e-10,4.033234936896002396e-10
2.800000000000000000e+01,4.033234926565516400e-10,2.036783643132481026e-10
2.900000000000000000e+01,2.036783665269870892e-10,1.028575739781902872e-10
3.000000000000000000e+01,1.028575719820035370e-10,5.194307485898610233e-11
3.100000000000000000e+01,5.194307388537369967e-11,2.623125280378797883e-11
3.200000000000000000e+01,2.623125401073783794e-11,1.324678266591292918e-11
3.300000000000000000e+01,1.324679022997865356e-11,6.689625246286029455e-12
3.400000000000000000e+01,6.689623645010933656e-12,3.378260749374444879e-12
3.500000000000000000e+01,3.378263778863286410e-12,1.706021678434094629e-12
3.600000000000000000e+01,1.706028717517947213e-12,8.615409476092178343e-13
3.700000000000000000e+01,8.615479244594044643e-13,4.350781785426550311e-13
3.800000000000000000e+01,4.350875693900210298e-13,2.197144801640407662e-13
3.900000000000000000e+01,2.197257193625126692e-13,1.109558124828405913e-13
4.000000000000000000e+01,1.109758734076451751e-13,5.603268530383449648e-14
